Asset ID,Canonical Filename,Asset Family,Canonical Room / Surface,Semantic Purpose,Source Evidence,Treatment,Desktop Requirement,Mobile Requirement,Transparency,Interactive / Stateful,Required States,Layer,Target / Action,Visual Continuity Requirements,Production Status,Approval Status,Codex Implementation Notes
FMD-SCENE-FOREST-001,FMD_SCENE_FOREST_BASE_DESKTOP_DEFAULT_v001.webp,SCENE,Forest / Threshold,Canonical desktop Forest threshold composition,forest_path.jpg,REBUILD,Required,Deliberate mobile composition required,No,No,default,base,,Path/threshold curiosity; grounded Studio-world atmosphere,PLANNED,UNREVIEWED,Do not reproduce legacy crop mechanically.
FMD-SCENE-FOREST-002,FMD_SCENE_FOREST_BASE_MOBILE_DEFAULT_v001.webp,SCENE,Forest / Threshold,Canonical mobile Forest composition,forest_path.jpg,ADD,N/A,Required,No,No,default,base,,Same place and semantics; mobile-first framing,PLANNED,UNREVIEWED,May derive from same art only if composition survives.
FMD-SCENE-CABIN-001,FMD_SCENE_CABIN_BASE_DESKTOP_DEFAULT_v001.webp,SCENE,Cabin Exterior / Threshold,Canonical cabin exterior base without baked dynamic effects,cabin_exterior.jpg,REBUILD,Required,Deliberate mobile composition required,No,No,default,base,,"Warm threshold, believable structure, entry invitation",PLANNED,UNREVIEWED,Keep glow/smoke out of base if runtime effects can provide them.
FMD-FX-CABIN-001,FMD_FX_CABIN_SMOKE_DESKTOP_IDLE_v001.webp,FX,Cabin Exterior / Threshold,Optional atmospheric smoke layer,CSS smoke + cabin_exterior.jpg,ADD,Conditional,Conditional,Yes,No,idle,ambient,,"Subtle, nonessential, reduced-motion safe",PLANNED,UNREVIEWED,Prefer CSS/runtime effect if cleaner than raster.
FMD-CHAR-ENTRY-001,FMD_CHAR_ENTRY_EXPLORER_DESKTOP_IDLE_v001.webp,CHAR,Explorer Entry / Threshold,Explorer DJ greeting/orientation presence,explorer_entry.jpg + identity canon,ADD,Required if character remains in composition,Conditional,Yes,No,idle,character,,Explorer invites; never becomes authorship/authority,PLANNED,UNREVIEWED,Transparent character asset preferred for reuse.
FMD-SCENE-ENTRY-001,FMD_SCENE_EXPLORERENTRY_BASE_DESKTOP_DEFAULT_v001.webp,SCENE,Explorer Entry / Threshold,Environment with intentional character/copy negative space,explorer_entry.jpg,REBUILD,Required,Deliberate mobile composition required,No,No,default,base,,Threshold continuity with Forest/Cabin/Main Studio,PLANNED,UNREVIEWED,Scene must work even without character layer.
FMD-SCENE-MAIN-001,FMD_SCENE_MAINSTUDIO_BASE_DESKTOP_DEFAULT_v001.webp,SCENE,Main Studio / Hub,Canonical Main Studio environment,main_studio.jpg,REFINE / REBUILD,Required,Deliberate mobile composition required,No,No,default,base,,"Preserve central desk, room thresholds, inhabited working-room feel",PLANNED,UNREVIEWED,Must stop serving as Architecture Wall room image.
FMD-SCENE-MAIN-002,FMD_SCENE_MAINSTUDIO_BASE_MOBILE_DEFAULT_v001.webp,SCENE,Main Studio / Hub,Canonical mobile Main Studio composition,main_studio.jpg,ADD,N/A,Required,No,No,default,base,,"Same landmarks and room identity, not desktop crop",PLANNED,UNREVIEWED,Semantic destinations must remain available regardless of visual crop.
FMD-OBJ-MAIN-001,FMD_OBJ_MAINSTUDIO_DESK_DESKTOP_IDLE_v001.webp,OBJ,Main Studio / Desk Now,Desk/Now visual anchor with state potential,main_studio.jpg,DECOMPOSE,Required,Variant/derived as needed,Yes,Yes,idle;active,foreground,/now or contextual panel,"Desk is temporal surface, not generic furniture",PLANNED,UNREVIEWED,Only separate if stateful implementation is adopted.
FMD-OBJ-MAIN-002,FMD_OBJ_MAINSTUDIO_STUDIOMAP_DESKTOP_IDLE_v001.webp,OBJ,Main Studio / Studio Map,Spatial orientation object,main_studio.jpg + architecture docs,ADD,Required,Variant/derived as needed,Yes,Yes,idle;hover;focus;active,foreground,Studio map / semantic navigation,Map orients; never replaces semantic menu,PLANNED,UNREVIEWED,Needs accessible semantic equivalent.
FMD-CHAR-MAIN-001,FMD_CHAR_MAINSTUDIO_EXPLORER_DESKTOP_IDLE_v001.webp,CHAR,Main Studio / Hub,Optional Explorer DJ orientation presence,identity canon,ADD,Conditional,Conditional,Yes,No,idle,character,,"Sparse use; inviting, not persistent mascot",PLANNED,UNREVIEWED,Do not block landmarks or Desk.
FMD-SCENE-LIB-001,FMD_SCENE_LIBRARY_BASE_DESKTOP_DEFAULT_v001.webp,SCENE,Library / Room,Canonical Library environment,library.jpg,REFINE / REBUILD,Required,Deliberate mobile composition required,No,No,default,base,,Warm shelf/reading architecture; visible spatial continuity,PLANNED,UNREVIEWED,Atmospheric books may remain; real books visually distinct.
FMD-SCENE-LIB-002,FMD_SCENE_LIBRARY_BASE_MOBILE_DEFAULT_v001.webp,SCENE,Library / Room,Canonical mobile Library composition,library.jpg,ADD,N/A,Required,No,No,default,base,,Same Room identity; preserve series/read function,PLANNED,UNREVIEWED,Avoid simply scaling percentage hotspots.
FMD-OBJ-LIB-001,FMD_OBJ_LIBRARY_ARCHBOOK01_DESKTOP_DEFAULT_v001.webp,OBJ,Library / Architecture Series,The Architecture of Being Human as canonical publication object,current published cover,ADD,Required,Derived presentation as needed,Yes,Yes,default;hover;focus,foreground,Artifact detail,"Real publication object, not generic shelf filler",PLANNED,UNREVIEWED,Use approved current cover art; do not hallucinate cover text.
FMD-UI-LIB-001,FMD_UI_LIBRARY_ARCHSERIES_BANNER_DESKTOP_DEFAULT_v001.webp,UI,Library / Architecture Series,Rebuilt Architecture Series visual banner,architecture-series-banner.jpg,REBUILD,Required,Responsive variant if needed,No,Yes,default;hover;focus,overlay,Series surface,Preserve series identity without stale release state,PLANNED,UNREVIEWED,Should derive current canonical publication facts.
FMD-UI-LIB-002,FMD_UI_LIBRARY_FIELDGUIDE_WILDSIDE_BANNER_DESKTOP_DEFAULT_v001.webp,UI,Library / Series,Rebuilt Field Guide / Wild Side banner family,field-guide-wild-side-banner.jpg,REBUILD,Required,Responsive variant if needed,No,Yes,default;hover;focus,overlay,Series surfaces,Stylized Explorer DJ allowed within series-world graphics,PLANNED,UNREVIEWED,Do not collapse both series identities if separate artifacts warrant separation.
FMD-SCENE-WORK-001,FMD_SCENE_WORKSHOP_BASE_DESKTOP_DEFAULT_v001.webp,SCENE,Workshop / Room,Canonical Workshop environment,workshop.jpg,REFINE / REBUILD,Required,Deliberate mobile composition required,No,No,default,base,,One room for building; inhabited tools + drafting + computing,PLANNED,UNREVIEWED,Apps/Tools not separate Room scenes.
FMD-SCENE-WORK-002,FMD_SCENE_WORKSHOP_BASE_MOBILE_DEFAULT_v001.webp,SCENE,Workshop / Room,Canonical mobile Workshop composition,workshop.jpg,ADD,N/A,Required,No,No,default,base,,Preserve making identity and current-work hierarchy,PLANNED,UNREVIEWED,Mobile may prioritize one workbench zone at a time.
FMD-OBJ-WORK-001,FMD_OBJ_WORKSHOP_WORKBENCH_DESKTOP_IDLE_v001.webp,OBJ,Workshop / Primary Workspace,Stateful active-build/workbench region,workshop.jpg,DECOMPOSE,Conditional,Conditional,Yes,Yes,idle;active,foreground,Current Workshop artifact/panel,"Evidence of making, not product-grid chrome",PLANNED,UNREVIEWED,Separate only if current-work state changes on site.
