object_id,scene,visible object,semantic purpose,target/action,idle treatment,hover treatment,focus treatment,tap treatment,active/selected treatment,motion behavior,reduced-motion behavior,accessibility label,implementation type
FMD-INT-GLOBAL-LOGO,Global,Aperture diamond + FluxMintDigital wordmark,Studio identity/Home return,/,Canonical mark and wordmark,Subtle acknowledged state,Visible outline and non-color cue,Activate once,Current-page indication optional,None,None,FluxMintDigital home,Inline SVG + anchor
FMD-INT-GLOBAL-NAV,Global,Semantic global navigation,Direct Room/utility access,Canonical routes,Readable conventional links,Underline/color/non-layout shift,Strong focus-visible ring,Large touch target,aria-current on active destination,No required motion,None,Primary navigation,HTML nav/anchors
FMD-INT-GLOBAL-MOBNAV,Global,Mobile navigation control,Expose semantic navigation,Open/close navigation,Closed recognizable control,Hover cue where available,Visible focus and expanded state,One-tap toggle,aria-expanded true/open state,Optional short panel transition,Instant open/close,Open Studio navigation,HTML button + CSS/component
FMD-INT-GLOBAL-SEARCH,Global,Search control,Find canonical Artifacts/Open search,Search interface,Conventional icon+label,Hover cue,Visible focus,Open once,Expanded/query state,Optional short transition,Instant,Search the Studio,HTML form/component + SVG icon
FMD-INT-GLOBAL-BREADCRUMB,Global,Breadcrumb/location receipt,Orientation and return,Ancestor route,Textual path,Link hover,Visible link focus,Direct activation,Current item nonlink,None,None,Current Studio location,HTML nav/list
FMD-INT-HOME-BEGIN,Forest/Entry,Begin exploring CTA,Start optional threshold journey,Next threshold or Main Studio,Primary live control,Color/border cue,Visible focus,One tap,Pressed state,Short nonessential transition,None/instant,Begin exploring,HTML anchor
FMD-INT-CABIN-DOOR,Cabin Exterior,Cabin entry threshold,Enter Studio,Explorer Entry/Main Studio,Subtle threshold indicator,Indicator/label appears,Equivalent visible label+outline,One tap with persistent cue,Selected/visited only if useful,Optional light emphasis,Static emphasis,Enter the FluxMintDigital Studio,HTML anchor + SVG/CSS overlay
FMD-INT-MAIN-DESK,Main Studio,Desk / Now,Reveal 3-5 current Artifacts,/now or contextual Now panel,Quiet current-work cue,Non-layout highlight,Outline+label,Open panel directly,Selected desk/current panel,Optional small glow/object emphasis,Static selected border/label,Explore what is happening now,HTML button/anchor + data component
FMD-INT-MAIN-MAP,Main Studio,Studio Map,Spatial orientation,Room selector,All Rooms legible,Region highlight+label,Visible focus in semantic order,One-tap Room selection,Selected/current Room marker,Optional line/path emphasis,Static state changes,Open the Studio map,SVG/CSS component with HTML equivalent
FMD-INT-THRESHOLD-LIB,Main Studio,Library threshold,Enter Read Room,/library/,Destination cue,Gold/semantic highlight,Focus outline+label,One tap,Current/visited only if specified,No required motion,None,Enter the Library,HTML anchor + SVG/CSS overlay
FMD-INT-THRESHOLD-WORK,Main Studio,Workshop threshold,Enter Build Room,/workshop/ or canonical route,Destination cue,Highlight,Focus outline+label,One tap,Current/visited only if specified,No required motion,None,Enter the Workshop,HTML anchor + SVG/CSS overlay
FMD-INT-THRESHOLD-WALL,Main Studio,Architecture Wall threshold,Enter Examine Room,/architecture-wall/ or canonical route,Destination cue,Highlight,Focus outline+label,One tap,Current/visited only if specified,No required motion,None,Enter the Architecture Wall,HTML anchor + SVG/CSS overlay
FMD-INT-THRESHOLD-OBS,Main Studio,Observatory threshold,Enter Notice Room,/observatory/ or canonical route,Destination cue,Highlight,Focus outline+label,One tap,Current/visited only if specified,No required motion,None,Enter the Observatory,HTML anchor + SVG/CSS overlay
FMD-INT-THRESHOLD-MEET,Main Studio,Meeting Table threshold,Enter Collaborate Room,/meeting-table/ or canonical route,Destination cue,Highlight,Focus outline+label,One tap,Current/visited only if specified,No required motion,None,Enter the Meeting Table,HTML anchor + SVG/CSS overlay
FMD-INT-THRESHOLD-OUT,Main Studio,Explorer Outfitters threshold,Enter Take Room,/outfitters/ or canonical route,Destination cue,Highlight,Focus outline+label,One tap,Current/visited only if specified,No required motion,None,Enter Explorer Outfitters,HTML anchor + SVG/CSS overlay
FMD-INT-LIB-PUBLICATION,Library,The Architecture of Being Human — Volume I,Open Published Public Book/Publication,Volume I Artifact detail,Actual approved cover with separate label,Non-destructive emphasis,Focus ring+title/state text,One tap with no hover dependency,Selected only in open detail,Optional slight lift,No lift; border/color state,Open The Architecture of Being Human — Volume I,HTML anchor/button + canonical cover raster
FMD-INT-LIB-SERIES,Library,Series object/presentation,Explore ordered series,Series Artifact detail,Identity and sequence visible,Highlight relationship,Focus ring+full label,One tap,Selected series/filter,Optional relationship emphasis,Static markers,Explore [series title],HTML/data + SVG/raster media
FMD-INT-WORK-BENCH,Workshop,Current workbench object,Inspect current build/prototype,Workshop Artifact/panel,Small data-driven current cue,Highlight only interactive object,Focus ring+name/state,One tap,Selected Artifact,Optional earned object response,Static selected state,Inspect current Workshop project,HTML/data overlay + optional raster object
FMD-INT-WORK-TOOLS,Workshop,Tool-wall region,Explore tools/instruments,Curated collection,Single regional affordance,Regional highlight+label,Focus outline+label,One tap,Selected collection,No individual tool animation,None,Explore Workshop tools,HTML anchor/button + SVG overlay
FMD-INT-WALL-APERTURE,Architecture Wall,Aperture centerpiece,Enter/focus public research inspection,Research surface,Neutral—not a truth score,Functional affordance appears,Focus ring+text purpose,One tap,Selected inspection context,Optional trace animation only,Instant/static trace,Open the Architecture Wall research surface,SVG component + button
FMD-INT-WALL-NODE,Architecture Wall,Claim/model/evidence node,Inspect assertion and warrant,Artifact/claim detail,State explicitly named,Highlight without implying confidence,Strong outline+full state,Open detail,Selected and contradiction/candidate state named,Optional relationship trace,Static lines and state labels,Inspect [node title] — [state],HTML/data + SVG connector
FMD-INT-WALL-REL,Architecture Wall,Relationship line/marker,Trace typed directional relationship,Related node/relationship detail,Type/direction legible,Emphasize endpoints,Keyboard-reachable control or equivalent list,One tap selects relation,Selected line+text description,Optional draw/trace,Line shown instantly,Trace [relationship type] from [source] to [target],SVG + semantic HTML equivalent
FMD-INT-OBS-TELESCOPE,Observatory,Telescope/current-observation affordance,Open current observation or topic,Current Observatory Artifact/context,Quiet cue; telescope may remain baked,Overlay highlight+label,Equivalent focus label,One tap,Selected observation,Optional subtle optical motion only if earned,None/static,View the current observation,HTML button/anchor + SVG overlay
FMD-INT-OBS-ARTIFACT,Observatory,Essay/Field Note/Discovery card,Read typed Artifact,Artifact detail,Type/date/title visible,Card/link emphasis,Visible focus,One tap,Current filter/selection where applicable,No required motion,None,Read [Artifact title],HTML article/anchor
FMD-INT-MEET-PROBLEM,Meeting Table,Intake/problem object,Begin clarification/collaboration,Authorized intake flow or contact,Inviting neutral object,Highlight+plain-language cue,Visible focus+instructions,One tap,Progress/current step state,Only workflow progress transition,Instant step changes,Begin clarifying your project,HTML form/component + optional object media
FMD-INT-MEET-FAQ,Meeting Table,Question rows,Disclose service/process answers,Expand/collapse answer,Closed summary with plus,Text/color cue,Focus-visible outline,One-tap toggle,Open state and minus/rotation,Short indicator rotation,Instant symbol change,[Question text],Native details/summary
FMD-INT-OUT-ARTIFACT,Explorer Outfitters,Representative acquisition object,Open canonical Artifact and available modes,Artifact detail,Identity visible; no false price/channel,Highlight+label,Focus ring+availability text,One tap,Selected Artifact,Optional slight lift,Static border,View [Artifact title],HTML/data + canonical media
FMD-INT-OUT-CHANNEL,Explorer Outfitters,External channel action,Acquire/read/use through verified channel,Authorized external URL,Plain external-action label,Hover cue,Visible focus,One tap; external context disclosed,Disabled/unavailable/unknown state explicit,None,None,[Action] [Artifact] through [channel],HTML anchor/button from availability data
FMD-INT-DJ-CONTACT,Meet DJ,Contact/collaborate action,Reach real author/collaborator,Authorized contact route,Conventional CTA,Hover cue,Visible focus,One tap,Pressed state,No required motion,None,Contact D.J. Boswell,HTML anchor
FMD-INT-RELATIONSHIP,Artifact surfaces,Relationship marker/link,Explain typed Artifact relationship,Related Artifact,Type and direction visible,Highlight,Visible focus,One tap,Selected trail where supported,Optional trace,Static relationship,Explore [relationship] [target],HTML/data + optional SVG
FMD-INT-HISTORY,Room/Artifact surfaces,History/archive control,Browse Past without rewriting current truth,Local Room archive/history,Conventional labeled control,Hover cue,Visible focus,One tap,Selected filter/time state,Optional short filter transition,Instant results,View [Room/Artifact] history,HTML controls + data
