route_or_destination,type,source,layout_or_generation,surface,visual_asset,navigation_or_status,evidence
/,page,index.md,home,"Forest > Cabin Exterior > Explorer Entry > Main Studio > content/map",forest_path.jpg;cabin_exterior.jpg;explorer_entry.jpg;main_studio.jpg,"header/footer; anchors #studio-map and #scene-main-studio",index.md:2-5;_layouts/home.html
/about/,page,about.md,room,Meet DJ/About,architecture_wall_dj.jpg,"prev /blog/; next /science/",about.md:2-52
/apps/,page,apps.md,room,Workshop/Apps,workshop.jpg,"prev /books/; next /tools/",apps.md:2-78
/blog/,page,blog.md,room,Observatory/Blog,observatory.jpg,"prev /services/; next /about/; external legacy blog",blog.md:2-59
/books/,page,books.md,room,Library/Books,"library.jpg;field-guide-wild-side-banner.jpg;architecture-series-banner.jpg","prev /; next /apps/",books.md:2-95
/science/,page,science.md,room,Architecture Wall/Science,main_studio.jpg,"prev /tools/; next /services/",science.md:2-59
/services/,page,services.md,room,Meeting Table/Architecture Services,services.jpg,"prev /science/; next /store/",services.md:2-63
/store/,page,store.md,room,Explorer Outfitters/Store,store.jpg,"prev /services/; next /; placeholder commerce links",store.md:2-66
/tools/,page,tools.md,room,Workshop/Tools,workshop.jpg,"prev /apps/; next /science/",tools.md:2-78
/studio-blog/,archive,studio-blog/index.html,default,Observatory Studio Blog archive,none,"all posts newest-first; no pagination markup",studio-blog/index.html:1-35
/404.html,error,404.html,default,Trail Not Found,none,Back to Main Studio,404.html:1-14
/welcome-to-the-observatory/,article,_posts/2026-03-01-welcome-to-the-observatory.md,post,Observatory essay I,none,3 related links,_posts/2026-03-01-welcome-to-the-observatory.md:1-65
/what-is-architectural-thinking/,article,_posts/2026-03-08-what-is-architectural-thinking.md,post,Observatory essay II,none,3 related links,_posts/2026-03-08-what-is-architectural-thinking.md:1-63
/why-i-created-objective-first-architecture/,article,_posts/2026-03-15-why-i-created-objective-first-architecture.md,post,Observatory essay III,none,3 related links,_posts/2026-03-15-why-i-created-objective-first-architecture.md:1-65
/what-does-it-mean-to-become-an-explorer/,article,_posts/2026-03-22-what-does-it-mean-to-become-an-explorer.md,post,Observatory essay IV,none,2 related links,_posts/2026-03-22-what-does-it-mean-to-become-an-explorer.md:1-58
/the-difference-between-information-and-understanding/,article,_posts/2026-03-29-the-difference-between-information-and-understanding.md,post,Observatory essay V,none,3 related links,_posts/2026-03-29-the-difference-between-information-and-understanding.md:1-63
/building-a-studio-instead-of-a-brand/,article,_posts/2026-04-05-building-a-studio-instead-of-a-brand.md,post,Observatory essay VI,none,2 related links,_posts/2026-04-05-building-a-studio-instead-of-a-brand.md:1-56
/the-architecture-of-everyday-decisions/,article,_posts/2026-04-12-the-architecture-of-everyday-decisions.md,post,Observatory essay VII,none,3 related links,_posts/2026-04-12-the-architecture-of-everyday-decisions.md:1-63
/the-architecture-of-learning/,article,_posts/2026-04-19-the-architecture-of-learning.md,post,Observatory essay VIII,none,3 related links,_posts/2026-04-19-the-architecture-of-learning.md:1-59
/behind-the-studio/,article,_posts/2026-04-26-behind-the-studio.md,post,Observatory essay IX,none,3 related links,_posts/2026-04-26-behind-the-studio.md:1-59
/why-most-problems-are-misunderstood/,article,_posts/2026-05-03-why-most-problems-are-misunderstood.md,post,Observatory essay X,none,3 related links,_posts/2026-05-03-why-most-problems-are-misunderstood.md:1-65
/the-architecture-of-trust/,article,_posts/2026-05-10-the-architecture-of-trust.md,post,Observatory essay XI,none,3 related links,_posts/2026-05-10-the-architecture-of-trust.md:1-63
