asset_id,exact_filename,class,location,surface,desktop_mobile_role,semantic_role,interaction_state_role,transparency_requirement,canonical_status,implementation_status,source_replacement_relationship,implementation_notes
FMD-SRC-LEGACY-FOREST-001,forest_path.jpg,SOURCE,Forest,Threshold,Historical desktop source,Historical Visual Source Set v0,Reference only,No,HISTORICAL-CANONICAL-EVIDENCE,DONE,assets/images/rooms/forest_path.jpg,Preserve unchanged; do not delete or overwrite during migration.
FMD-SRC-LEGACY-CABIN-001,cabin_exterior.jpg,SOURCE,Cabin Exterior,Threshold,Historical desktop source,Historical Visual Source Set v0,Reference only,No,HISTORICAL-CANONICAL-EVIDENCE,DONE,assets/images/rooms/cabin_exterior.jpg,Preserve unchanged; do not delete or overwrite during migration.
FMD-SRC-LEGACY-ENTRY-001,explorer_entry.jpg,SOURCE,Explorer Entry,Threshold,Historical desktop source,Historical Visual Source Set v0,Reference only,No,HISTORICAL-CANONICAL-EVIDENCE,DONE,assets/images/rooms/explorer_entry.jpg,Preserve unchanged; do not delete or overwrite during migration.
FMD-SRC-LEGACY-MAIN-001,main_studio.jpg,SOURCE,Main Studio / legacy Wall,Hub / Room,Historical desktop source,Historical Visual Source Set v0,Reference only,No,HISTORICAL-CANONICAL-EVIDENCE,DONE,assets/images/rooms/main_studio.jpg,Preserve unchanged; do not delete or overwrite during migration.
FMD-SRC-LEGACY-LIB-001,library.jpg,SOURCE,Library,Room,Historical desktop source,Historical Visual Source Set v0,Reference only,No,HISTORICAL-CANONICAL-EVIDENCE,DONE,assets/images/rooms/library.jpg,Preserve unchanged; do not delete or overwrite during migration.
FMD-SRC-LEGACY-WORK-001,workshop.jpg,SOURCE,Workshop,Room,Historical desktop source,Historical Visual Source Set v0,Reference only,No,HISTORICAL-CANONICAL-EVIDENCE,DONE,assets/images/rooms/workshop.jpg,Preserve unchanged; do not delete or overwrite during migration.
FMD-SRC-LEGACY-WALLDJ-001,architecture_wall_dj.jpg,SOURCE,Meet DJ,Person Surface,Historical desktop source,Historical Visual Source Set v0,Reference only,No,HISTORICAL-CANONICAL-EVIDENCE,DONE,assets/images/rooms/architecture_wall_dj.jpg,Preserve unchanged; do not delete or overwrite during migration.
FMD-SRC-LEGACY-OBS-001,observatory.jpg,SOURCE,Observatory,Room,Historical desktop source,Historical Visual Source Set v0,Reference only,No,HISTORICAL-CANONICAL-EVIDENCE,DONE,assets/images/rooms/observatory.jpg,Preserve unchanged; do not delete or overwrite during migration.
FMD-SRC-LEGACY-MEET-001,services.jpg,SOURCE,Meeting Table,Room,Historical desktop source,Historical Visual Source Set v0,Reference only,No,HISTORICAL-CANONICAL-EVIDENCE,DONE,assets/images/rooms/services.jpg,Preserve unchanged; do not delete or overwrite during migration.
FMD-SRC-LEGACY-OUT-001,store.jpg,SOURCE,Explorer Outfitters,Room,Historical desktop source,Historical Visual Source Set v0,Reference only,No,HISTORICAL-CANONICAL-EVIDENCE,DONE,assets/images/rooms/store.jpg,Preserve unchanged; do not delete or overwrite during migration.
FMD-SRC-LEGACY-ARCHBANNER-001,architecture-series-banner.jpg,SOURCE,Library,Series Surface,Historical desktop source,Historical Visual Source Set v0,Reference only,No,HISTORICAL-CANONICAL-EVIDENCE,DONE,assets/images/books/architecture-series-banner.jpg,Preserve unchanged; do not delete or overwrite during migration.
FMD-SRC-LEGACY-FIELDBANNER-001,field-guide-wild-side-banner.jpg,SOURCE,Library,Series Surface,Historical desktop source,Historical Visual Source Set v0,Reference only,No,HISTORICAL-CANONICAL-EVIDENCE,DONE,assets/images/books/field-guide-wild-side-banner.jpg,Preserve unchanged; do not delete or overwrite during migration.
FMD-DIR-ARCHIVED-001,A Home for Curious Minds.png,DIRECTION,Cabin Exterior,Visual Direction,Desktop reference,Composition lineage,Reference only,No,ARCHIVED-DIRECTION-EVIDENCE,DONE,FluxMintDigital_Website_Canonical_Package/Assets/archived/A Home for Curious Minds.png,Preserve archived direction; not a literal implementation asset.
FMD-DIR-ARCHIVED-002,Cozy Mountain Library at Sunset.png,DIRECTION,Library,Visual Direction,Desktop reference,Composition lineage,Reference only,No,ARCHIVED-DIRECTION-EVIDENCE,DONE,FluxMintDigital_Website_Canonical_Package/Assets/archived/Cozy Mountain Library at Sunset.png,Preserve archived direction; not a literal implementation asset.
FMD-DIR-ARCHIVED-003,Explorer Outfitters: A Kinder Tomorrow.png,DIRECTION,Explorer Outfitters,Visual Direction,Desktop reference,Composition lineage,Reference only,No,ARCHIVED-DIRECTION-EVIDENCE,DONE,FluxMintDigital_Website_Canonical_Package/Assets/archived/Explorer Outfitters: A Kinder Tomorrow.png,Preserve archived direction; not a literal implementation asset.
FMD-DIR-ARCHIVED-004,FluxMint Mountain Studio at Golden Hour meeting table.png,DIRECTION,Meeting Table,Visual Direction,Desktop reference,Composition lineage,Reference only,No,ARCHIVED-DIRECTION-EVIDENCE,DONE,FluxMintDigital_Website_Canonical_Package/Assets/archived/FluxMint Mountain Studio at Golden Hour meeting table.png,Preserve archived direction; not a literal implementation asset.
FMD-DIR-ARCHIVED-005,FluxMintDigital Creator Workspace.png,DIRECTION,Meet DJ,Visual Direction,Desktop reference,Composition lineage,Reference only,No,ARCHIVED-DIRECTION-EVIDENCE,DONE,FluxMintDigital_Website_Canonical_Package/Assets/archived/FluxMintDigital Creator Workspace.png,Preserve archived direction; not a literal implementation asset.
FMD-DIR-ARCHIVED-006,FluxMintDigital Inspiration Studio.png,DIRECTION,Architecture Wall,Visual Direction,Desktop reference,Composition lineage,Reference only,No,ARCHIVED-DIRECTION-EVIDENCE,DONE,FluxMintDigital_Website_Canonical_Package/Assets/archived/FluxMintDigital Inspiration Studio.png,Preserve archived direction; not a literal implementation asset.
FMD-DIR-ARCHIVED-007,FluxMintDigital Mountain Workshop.png,DIRECTION,Workshop,Visual Direction,Desktop reference,Composition lineage,Reference only,No,ARCHIVED-DIRECTION-EVIDENCE,DONE,FluxMintDigital_Website_Canonical_Package/Assets/archived/FluxMintDigital Mountain Workshop.png,Preserve archived direction; not a literal implementation asset.
FMD-DIR-ARCHIVED-008,Golden-Hour Observatory of Curiosity.png,DIRECTION,Observatory,Visual Direction,Desktop reference,Composition lineage,Reference only,No,SUPERSEDED-DIRECTION-EVIDENCE,DONE,FluxMintDigital_Website_Canonical_Package/Assets/archived/Golden-Hour Observatory of Curiosity.png,Earlier pet-bearing Observatory direction; superseded and excluded from production.
FMD-DIR-ARCHIVED-009,Ideas Find a Home Here.png,DIRECTION,Main Studio,Visual Direction,Desktop reference,Composition lineage,Reference only,No,ARCHIVED-DIRECTION-EVIDENCE,DONE,FluxMintDigital_Website_Canonical_Package/Assets/archived/Ideas Find a Home Here.png,Preserve archived direction; not a literal implementation asset.
FMD-DIR-ARCHIVED-010,Misty Forest Path to the Studio.png,DIRECTION,Forest,Visual Direction,Desktop reference,Composition lineage,Reference only,No,ARCHIVED-DIRECTION-EVIDENCE,DONE,FluxMintDigital_Website_Canonical_Package/Assets/archived/Misty Forest Path to the Studio.png,Preserve archived direction; not a literal implementation asset.
FMD-DIR-ARCHIVED-011,Step Into What Matters.png,DIRECTION,Explorer Entry,Visual Direction,Desktop reference,Composition lineage,Reference only,No,ARCHIVED-DIRECTION-EVIDENCE,DONE,FluxMintDigital_Website_Canonical_Package/Assets/archived/Step Into What Matters.png,Preserve archived direction; not a literal implementation asset.
FMD-DIR-ARCHIVED-012,The Meeting Table: Ideas in the Mountains.png,DIRECTION,Meeting Table,Visual Direction,Desktop reference,Composition lineage,Reference only,No,SUPERSEDED-DIRECTION-EVIDENCE,DONE,FluxMintDigital_Website_Canonical_Package/Assets/archived/The Meeting Table: Ideas in the Mountains.png,Earlier over-branded Meeting Table direction; superseded and excluded from production.
FMD-ACTUAL-FMD-UI-ARTIFACT-BOOK-DETAIL-MOBILE-DEFAULT-V001,FMD_UI_ARTIFACT_BOOK_DETAIL_MOBILE_DEFAULT_v001.png,SPECIMEN,Artifact Surface,Approved UI / Surface Specimen,Mobile,Approved visual ground truth,Flattened reference; reproduce semantic controls/states in code,No,APPROVED-VISUAL-GROUND-TRUTH,DONE,FMD_UI_ARTIFACT_BOOK_DETAIL_MOBILE_DEFAULT_v001.png,"Opaque full-screen specimen; DONE as reference, not directly usable as semantic UI or clean scene layer."
FMD-ACTUAL-FMD-SCENE-CABINEXTERIOR-BASE-MOBILE-DEFAULT-V001,FMD_SCENE_CABINEXTERIOR_BASE_MOBILE_DEFAULT_v001.png,SCENE,Cabin Exterior,Scene Environment,Mobile,Approved visual ground truth,Flattened reference; reproduce semantic controls/states in code,No,APPROVED-VISUAL-GROUND-TRUTH,DONE,FluxMintDigital_Website_Canonical_Package/Assets/final/FMD_SCENE_CABINEXTERIOR_BASE_MOBILE_DEFAULT_v001.png,"Filename says BASE but inspected pixels contain live header/copy/CTA and may contain noncanonical animals; retain as approved composition reference, not clean implementation base."
